,Word,Lower_case
771,Ephram,ephram
772,Ephrayim,ephrayim
773,Ephrem,ephrem
774,Er,er
775,Erasmus,erasmus
776,Erastus,erastus
777,Erek,erek
778,Erhard,erhard
779,Erhart,erhart
780,Eric,eric
781,Erich,erich
782,Erick,erick
783,Erik,erik
784,Erin,erin
785,Erl,erl
786,Ernest,ernest
787,Ernesto,ernesto
788,Ernie,ernie
789,Ernst,ernst
790,Erny,erny
791,Errol,errol
792,Ervin,ervin
793,Erwin,erwin
794,Esau,esau
795,Esme,esme
796,Esteban,esteban
797,Ethan,ethan
798,Ethelbert,ethelbert
799,Ethelred,ethelred
800,Etienne,etienne
801,Euclid,euclid
802,Eugen,eugen
803,Eugene,eugene
804,Eustace,eustace
805,Ev,ev
806,Evan,evan
807,Evelyn,evelyn
808,Everard,everard
809,Everett,everett
810,Ewan,ewan
811,Ewart,ewart
812,Ez,ez
813,Ezechiel,ezechiel
814,Ezekiel,ezekiel
815,Ezra,ezra
816,Fabian,fabian
817,Fabio,fabio
818,Fairfax,fairfax
819,Farley,farley
820,Fazeel,fazeel
821,Federico,federico
822,Felice,felice
823,Felicio,felicio
824,Felipe,felipe
825,Felix,felix
826,Ferd,ferd
827,Ferdie,ferdie
828,Ferdinand,ferdinand
829,Ferdy,ferdy
830,Fergus,fergus
831,Ferguson,ferguson
832,Ferinand,ferinand
833,Fernando,fernando
834,Fidel,fidel
835,Filbert,filbert
836,Filip,filip
837,Filipe,filipe
838,Filmore,filmore
839,Finley,finley
840,Finn,finn
841,Fitz,fitz
842,Fitzgerald,fitzgerald
843,Flem,flem
844,Fleming,fleming
845,Flemming,flemming
846,Fletch,fletch
847,Fletcher,fletcher
848,Flin,flin
849,Flinn,flinn
850,Flint,flint
851,Flipper,flipper
852,Florian,florian
853,Floyd,floyd
854,Flynn,flynn
855,Fons,fons
856,Fonsie,fonsie
857,Fonz,fonz
858,Fonzie,fonzie
859,Forbes,forbes
860,Ford,ford
861,Forest,forest
862,Forester,forester
863,Forrest,forrest
864,Forrester,forrester
865,Forster,forster
866,Foster,foster
867,Fowler,fowler
868,Fox,fox
869,Fran,fran
870,Francesco,francesco
871,Francis,francis
872,Francisco,francisco
873,Francois,francois
874,Frank,frank
875,Frankie,frankie
876,Franklin,franklin
877,Franklyn,franklyn
878,Franky,franky
879,Frans,frans
880,Franz,franz
881,Fraser,fraser
882,Frazier,frazier
883,Fred,fred
884,Freddie,freddie
885,Freddy,freddy
886,Frederic,frederic
887,Frederich,frederich
888,Frederick,frederick
889,Frederico,frederico
890,Frederik,frederik
891,Fredric,fredric
892,Fredrick,fredrick
893,Freeman,freeman
894,Freemon,freemon
895,Fremont,fremont
896,French,french
897,Friedric,friedric
898,Friedrich,friedrich
899,Friedrick,friedrick
900,Fritz,fritz
901,Fulton,fulton
902,Fyodor,fyodor
903,Gabe,gabe
904,Gabriel,gabriel
905,Gabriele,gabriele
906,Gabriell,gabriell
907,Gabriello,gabriello
908,Gail,gail
909,Gale,gale
910,Galen,galen
911,Gallagher,gallagher
912,Gamaliel,gamaliel
913,Garcia,garcia
914,Garcon,garcon
915,Gardener,gardener
916,Gardiner,gardiner
917,Gardner,gardner
918,Garey,garey
919,Garfield,garfield
920,Garfinkel,garfinkel
921,Garold,garold
922,Garp,garp
923,Garret,garret
924,Garrett,garrett
925,Garrot,garrot
926,Garrott,garrott
927,Garry,garry
928,Garth,garth
929,Garv,garv
930,Garvey,garvey
931,Garvin,garvin
932,Garvy,garvy
933,Garwin,garwin
934,Garwood,garwood
935,Gary,gary
936,Gaspar,gaspar
937,Gasper,gasper
938,Gaston,gaston
939,Gav,gav
940,Gaven,gaven
941,Gavin,gavin
942,Gavriel,gavriel
943,Gay,gay
944,Gayle,gayle
945,Gearard,gearard
946,Gene,gene
947,Geo,geo
948,Geof,geof
949,Geoff,geoff
950,Geoffrey,geoffrey
951,Geoffry,geoffry
952,Georg,georg
953,George,george
954,Georges,georges
955,Georgia,georgia
956,Georgie,georgie
957,Georgy,georgy
958,Gerald,gerald
959,Geraldo,geraldo
960,Gerard,gerard
961,Gere,gere
962,Gerhard,gerhard
963,Gerhardt,gerhardt
964,Geri,geri
965,Germaine,germaine
966,Gerold,gerold
967,Gerome,gerome
968,Gerrard,gerrard
969,Gerri,gerri
970,Gerrit,gerrit
971,Gerry,gerry
972,Gershom,gershom
973,Gershon,gershon
974,Giacomo,giacomo
975,Gian,gian
976,Giancarlo,giancarlo
977,Giavani,giavani
978,Gibb,gibb
979,Gideon,gideon
980,Giff,giff
981,Giffard,giffard
982,Giffer,giffer
983,Giffie,giffie
984,Gifford,gifford
985,Giffy,giffy
986,Gil,gil
987,Gilbert,gilbert
988,Gilberto,gilberto
989,Gilburt,gilburt
990,Giles,giles
991,Gill,gill
992,Gilles,gilles
993,Ginger,ginger
994,Gino,gino
995,Giordano,giordano
996,Giorgi,giorgi
997,Giorgio,giorgio
998,Giovanne,giovanne
999,Giovanni,giovanni
1000,Giraldo,giraldo
1001,Giraud,giraud
1002,Giuseppe,giuseppe
1003,Glen,glen
1004,Glenn,glenn
1005,Glynn,glynn
1006,Godard,godard
1007,Godart,godart
1008,Goddard,goddard
1009,Goddart,goddart
1010,Godfree,godfree
1011,Godfrey,godfrey
1012,Godfry,godfry
1013,Godwin,godwin
1014,Gomer,gomer
1015,Gonzales,gonzales
1016,Gonzalo,gonzalo
1017,Goober,goober
1018,Goose,goose
1019,Gordan,gordan
1020,Gordie,gordie
1021,Gordon,gordon
1022,Grace,grace
1023,Grady,grady
1024,Graehme,graehme
1025,Graeme,graeme
1026,Graham,graham
1027,Graig,graig
1028,Grant,grant
1029,Granville,granville
1030,Greg,greg
1031,Gregg,gregg
1032,Greggory,greggory
1033,Gregor,gregor
1034,Gregorio,gregorio
1035,Gregory,gregory
1036,Gretchen,gretchen
1037,Griff,griff
1038,Griffin,griffin
1039,Griffith,griffith
1040,Griswold,griswold
1041,Grove,grove
1042,Grover,grover
1043,Guido,guido
1044,Guillaume,guillaume
1045,Guillermo,guillermo
1046,Gunner,gunner
1047,Gunter,gunter
1048,Gunther,gunther
1049,Gus,gus
1050,Gustaf,gustaf
1051,Gustav,gustav
1052,Gustave,gustave
1053,Gustavo,gustavo
1054,Gustavus,gustavus
1055,Guthrey,guthrey
1056,Guthrie,guthrie
1057,Guthry,guthry
1058,Guy,guy
1059,Hadleigh,hadleigh
1060,Hadley,hadley
1061,Hadrian,hadrian
1062,Hagan,hagan
1063,Hagen,hagen
1064,Hailey,hailey
1065,Hakeem,hakeem
1066,Hakim,hakim
1067,Hal,hal
1068,Hale,hale
1069,Haleigh,haleigh
1070,Haley,haley
1071,Hall,hall
1072,Hallam,hallam
1073,Halvard,halvard
1074,Ham,ham
1075,Hamel,hamel
1076,Hamid,hamid
1077,Hamil,hamil
1078,Hamilton,hamilton
1079,Hamish,hamish
1080,Hamlen,hamlen
1081,Hamlet,hamlet
1082,Hamlin,hamlin
1083,Hammad,hammad
1084,Hamnet,hamnet
1085,Han,han
1086,Hanan,hanan
1087,Hanford,hanford
1088,Hank,hank
1089,Hannibal,hannibal
1090,Hans,hans
1091,Hans-Peter,hans-peter
1092,Hansel,hansel
1093,Hanson,hanson
1094,Harald,harald
1095,Harcourt,harcourt
1096,Hari,hari
1097,Harlan,harlan
1098,Harland,harland
1099,Harley,harley
1100,Harlin,harlin
1101,Harman,harman
1102,Harmon,harmon
1103,Harold,harold
1104,Harris,harris
1105,Harrison,harrison
1106,Harrold,harrold
1107,Harry,harry
1108,Hart,hart
1109,Hartley,hartley
1110,Hartwell,hartwell
1111,Harv,harv
1112,Harvard,harvard
1113,Harvey,harvey
1114,Harvie,harvie
1115,Harwell,harwell
1116,Hasheem,hasheem
1117,Hashim,hashim
1118,Haskel,haskel
1119,Haskell,haskell
1120,Hassan,hassan
1121,Hastings,hastings
1122,Hasty,hasty
1123,Haven,haven
1124,Hayden,hayden
1125,Haydon,haydon
1126,Hayes,hayes
1127,Hayward,hayward
1128,Haywood,haywood
1129,Hazel,hazel
1130,Heath,heath
1131,Heathcliff,heathcliff
1132,Hebert,hebert
1133,Hector,hector
1134,Heinrich,heinrich
1135,Heinz,heinz
1136,Helmuth,helmuth
1137,Henderson,henderson
1138,Hendrick,hendrick
1139,Hendrik,hendrik
1140,Henri,henri
1141,Henrie,henrie
1142,Henrik,henrik
1143,Henrique,henrique
1144,Henry,henry
1145,Herb,herb
1146,Herbert,herbert
1147,Herbie,herbie
1148,Herby,herby
1149,Hercule,hercule
1150,Hercules,hercules
1151,Herculie,herculie
1152,Herman,herman
1153,Hermann,hermann
1154,Hermon,hermon
1155,Hermy,hermy
1156,Hernando,hernando
1157,Herold,herold
1158,Herrick,herrick
1159,Herrmann,herrmann
1160,Hersch,hersch
1161,Herschel,herschel
1162,Hersh,hersh
1163,Hershel,hershel
1164,Herve,herve
1165,Hervey,hervey
1166,Hew,hew
1167,Hewe,hewe
1168,Hewet,hewet
1169,Hewett,hewett
1170,Hewie,hewie
1171,Hewitt,hewitt
1172,Heywood,heywood
1173,Hezekiah,hezekiah
1174,Higgins,higgins
1175,Hilary,hilary
1176,Hilbert,hilbert
1177,Hill,hill
1178,Hillard,hillard
1179,Hillary,hillary
1180,Hillel,hillel
1181,Hillery,hillery
1182,Hilliard,hilliard
1183,Hilton,hilton
1184,Hiralal,hiralal
1185,Hiram,hiram
1186,Hiro,hiro
1187,Hirsch,hirsch
1188,Hobart,hobart
1189,Hodge,hodge
1190,Hogan,hogan
1191,Hollis,hollis
1192,Holly,holly
1193,Homer,homer
1194,Horace,horace
1195,Horacio,horacio
1196,Horatio,horatio
1197,Horatius,horatius
1198,Horst,horst
1199,Howard,howard
1200,Howie,howie
1201,Hoyt,hoyt
1202,Hubert,hubert
1203,Hudson,hudson
1204,Huey,huey
1205,Hugh,hugh
1206,Hugo,hugo
1207,Humbert,humbert
1208,Humphrey,humphrey
1209,Hunt,hunt
1210,Hunter,hunter
1211,Huntington,huntington
1212,Huntlee,huntlee
1213,Huntley,huntley
1214,Hurley,hurley
1215,Husain,husain
1216,Husein,husein
1217,Hussein,hussein
1218,Hy,hy
1219,Hyatt,hyatt
1220,Hyman,hyman
1221,Hymie,hymie
1222,Iago,iago
1223,Iain,iain
1224,Ian,ian
1225,Ibrahim,ibrahim
1226,Ichabod,ichabod
1227,Iggie,iggie
1228,Iggy,iggy
1229,Ignace,ignace
1230,Ignacio,ignacio
1231,Ignacius,ignacius
1232,Ignatius,ignatius
1233,Ignaz,ignaz
1234,Ignazio,ignazio
1235,Igor,igor
1236,Ike,ike
1237,Ikey,ikey
1238,Immanuel,immanuel
1239,Ingamar,ingamar
1240,Ingelbert,ingelbert
1241,Ingemar,ingemar
1242,Inglebert,inglebert
1243,Ingmar,ingmar
1244,Ingram,ingram
1245,Inigo,inigo
1246,Ira,ira
1247,Irvin,irvin
1248,Irvine,irvine
1249,Irving,irving
1250,Irwin,irwin
1251,Isa,isa
1252,Isaac,isaac
1253,Isaak,isaak
1254,Isador,isador
1255,Isadore,isadore
1256,Isaiah,isaiah
1257,Ishmael,ishmael
1258,Isidore,isidore
1259,Ismail,ismail
1260,Israel,israel
1261,Istvan,istvan
1262,Ivan,ivan
1263,Ivor,ivor
1264,Izaak,izaak
1265,Izak,izak
1266,Izzy,izzy
1267,Jabez,jabez
1268,Jack,jack
1269,Jackie,jackie
1270,Jackson,jackson
1271,Jacob,jacob
1272,Jacques,jacques
1273,Jae,jae
1274,Jaime,jaime
